term,frequency
app,13981
use,6058
notion,4473
note,3601
work,2782
great,2566
love,2560
like,2259
best,2187
good,2176
take,1930
page,1890
realli,1845
make,1798
time,1790
mobil,1697
one,1638
android,1626
featur,1610
need,1561
slow,1539
pleas,1392
cant,1388
open,1364
version,1295
get,1294
would,1252
thing,1235
help,1222
phone,1196
organ,1196
much,1181
even,1157
keep,1149
im,1114
load,1114
product,1111
fix,1077
amaz,1061
life,1049
doesnt,1031
tri,1025
desktop,999
want,999
updat,980
also,950
offlin,913
text,910
lot,906
dont,890
add,877
everyth,871
way,823
write,818
better,803
type,803
thank,794
ever,793
ive,788
option,762
tool,734
still,729
bug,681
mani,678
ai,674
go,662
experi,662
chang,649
star,642
issu,638
function,629
manag,625
start,623
list,618
improv,616
screen,615
could,611
edit,607
free,605
widget,604
new,591
well,590
sometim,589
look,589
easi,587
applic,582
everi,577
problem,573
recommend,570
user,570
delet,562
web,557
task,545
give,525
person,514
nice,513
see,509
back,505
hope,504
creat,495
support,492
anyth,489
plan,480
know,472
perfect,467
without,461
keyboard,461
someth,456
data,456
lag,452
googl,441
day,437
mode,435
laggi,434
save,431
year,429
devic,428
awesom,427
first,422
feel,415
simpl,410
bit,401
organis,396
past,395
templat,394
pc,394
abl,393
find,391
copi,388
wish,385
long,384
sync,384
learn,383
access,382
think,381
howev,378
absolut,372
second,369
evernot,362
say,361
team,361
databas,358
word,350
de,348
bad,347
sinc,347
ad,343
far,342
buggi,342
show,340
hard,339
project,339
select,333
excel,328
though,324
seem,322
pretti,321
develop,320
alway,320
move,317
annoy,315
made,315
basic,314
ui,312
tablet,312
idea,308
view,307
block,307
frustrat,306
student,305
download,303
littl,303
stuff,302
overal,302
link,302
almost,301
tabl,298
super,297
complet,296
right,291
come,291
never,290
crash,289
content,289
set,289
there,289
unus,285
etc,282
daili,281
calendar,278
button,278
wont,277
differ,275
especi,274
design,272
quit,269
imag,268
connect,268
peopl,264
let,264
click,263
share,261
search,260
got,260
log,260
whole,257
